Абдалієва вулиця	вулиця Абдалієва
Козоріса вулиця	вулиця Козоріса
Койнаша вулиця	вулиця Койнаша
Кокирлату вулиця	вулиця Кокирлату
Кокінакі вулиця	вулиця Кокінакі
Коккінакі вулиця	вулиця Коккінакі
Кокоєва вулиця	вулиця Кокоєва
Коксохіміків вулиця	вулиця Коксохіміків
Колективізації вулиця	вулиця Колективізації
Колесня вулиця	вулиця Колесня
Коллонтай вулиця	вулиця Коллонтай
Коло Моста вулиця	вулиця Коло Моста
Колодязьна вулиця	Колодязьна вулиця
Колонія вулиця	вулиця Колонія
Колосиста вулиця	Колосиста вулиця
Колоскових вулиця	вулиця Колоскових
Колпаковой вулиця	вулиця Колпаковой
Колуково вулиця	вулиця Колуково
Кольчака вулиця	вулиця Кольчака
Колюбаєва вулиця	вулиця Колюбаєва
Командарма Корка вулиця	вулиця Командарма Корка
Комарвоа вулиця	вулиця Комарова
Комбайнерів вулиця	вулиця Комбайнерів
Комінника вулиця	вулиця Комінника
Комінтерну  вулиця	вулиця Комінтерну 
Комінтерну вулиця	вулиця Комінтерну
Комка вулиця	вулиця Комка
Комонавтів вулиця	вулиця Космонавтів
Композиторів вулиця	вулиця Композиторів
Комунара вулиця	вулиця Комунара
Комунарів вулиця	вулиця Комунарів
Комуністичної праці вулиця	вулиця Комуністичної Праці
Конгресів Яр вулиця	вулиця Конгресів Яр
Кондака вулиця	вулиця Кондака
Кондарєва вулиця	вулиця Кондарєва
Кондратка вулиця	вулиця Кондратка
Кондратця вулиця	вулиця Кондратця
Кондрашина вулиця	вулиця Кондрашина
Коник вулиця	вулиця Коник
Конопельця вулиця	вулиця Конопельця
Конопницької вулиця	вулиця Конопницької
Коноптицької вулиця	вулиця Коноптицької
Конституції вулиця	вулиця Конституції
Конструкторілор вулиця	вулиця Конструкторілор
Конько вулиця	вулиця Конько
Коняєва вулиця	вулиця Коняєва
Коняшиних вулиця	вулиця Коняшиних
Копана вулиця	Копана вулиця
Копанка вулиця	вулиця Копанка
Копань вулиця	вулиця Копань
Копачів вулиця	вулиця Копачів
Копчин вулиця	вулиця Копчин
Корабелів вулиця	вулиця Корабелів
Корабельника вулиця	вулиця Корабельника
Корабліної вулиця	вулиця Корабліної
Корбутяка вулиця	вулиця Корбутяка
Корда вулиця	вулиця Корда
Корея вулиця	вулиця Корея
Корзо вулиця	вулиця Корзо
Корлюка вулиця	вулиця Корлюка
Корман вулиця	вулиця Корман
